id,image_ids,species,location,date,latitude,longitude,ind_conf
4999,8368;8369;8370,Boletus edulis,"USA, California",2007-11-17,38.57526,-123.31296,86%
5107,8625,Amanita muscaria,"USA, California",2007-11-21,38.3985,-122.82732,85%
5108,8626,Amanita muscaria,"USA, California",2007-11-21,38.3985,-122.82732,94%
5149,8734;8735;8736,Trametes versicolor,"USA, North Carolina",2007-11-19,35.6544,-83.04912,91%
5231,8849;8850;8851,Amanita muscaria,"USA, California",2007-11-11,38.57526,-123.31296,94%
5315,9049,Hypomyces lactifluorum,"USA, North Carolina",2007-12-01,35.6544,-83.04912,82%
5330,9071,Amanita muscaria,"USA, California",2007-12-05,38.3985,-122.82732,90%
5449,9255,Amanita muscaria,"USA, California",2007-12-13,38.57526,-123.31296,94%
5542,9425;9426,Amanita muscaria,"USA, California",2007-12-20,38.3985,-122.82732,91%
5574,9466;9467;9468;9469,Mixed collection,"Iran, Lorestan",2007-12-20,33.57,48.44484,91%
5580,9482,Coprinus comatus,"USA, California",2007-12-19,34.11324,-118.34964,82%
5837,9892;9893,Ganoderma applanatum,"USA, Washington",2008-01-01,47.5191,-122.38236,75%
5952,10134,Coprinus comatus,"Iran, Lorestan",2007-04-27,33.57,48.44484,83%
6065,10328,Coprinus comatus,"USA, California",2008-01-15,38.25198,-122.625,83%
6123,10472,Amanita muscaria,"USA, California",2008-01-17,37.80018,-122.16888,89%
6302,10856,Trametes versicolor,"USA, California",2008-02-04,38.09358,-122.55264,90%
6690,11101;11102;11103;11104;11105;11106;11107,Amanita muscaria,"Mexico, Near Nevado de Colima",2007-10-10,19.395,-103.62204,67%
6733,11410,Trametes versicolor,"USA, California",2008-02-09,38.3985,-122.82732,92%
6779,11478;11479,Pluteus cervinus,"USA, California",2008-02-11,38.09358,-122.55264,91%
6904,11792,Amanita muscaria,"USA, California",2008-02-25,37.81242,-122.18832,86%
6956,11897;11898,Trametes versicolor,"USA, California",2008-03-01,38.3985,-122.82732,92%
6965,11929;11930;11931;11932,Trametes versicolor,"USA, California",2008-03-02,37.36944,-122.22216,94%
7073,12186;12187,Coprinus comatus,"Croatia, Lipik",2007-10-22,45.4122,17.1612,86%
7077,12192,Fuligo septica,"Croatia, Buzet",2007-05-26,45.40572,13.96836,90%
7082,12199,Trametes versicolor,"Croatia, Lipik",2007-10-14,45.4122,17.1612,94%
7089,12207,Artomyces pyxidatus,"Croatia, Lipik",2007-10-14,45.4122,17.1612,90%
7102,12235,Grifola frondosa,"Croatia, Lipik",2007-09-29,45.4122,17.1612,90%
7140,12315,Ganoderma applanatum,"USA, Washington",2008-02-20,47.5191,-122.38236,82%
7182,12395,Lactarius indigo,"USA, Louisiana",1992-08-01,32.68296,-93.6702,95%
7211,12456,Trametes versicolor,"USA, California",2008-03-30,37.15506,-122.247,93%
7221,12482;12483,Pluteus cervinus,"USA, California",2008-04-03,38.43558,-122.70348,76%
7334,12745;12746;12747;12748,Coprinus comatus,"USA, California",2008-04-19,37.41336,-122.0814,89%
7359,12813,Fuligo septica,"USA, California",2008-04-18,41.35482,-123.54444,73%
7635,13692;13693;13694,Fuligo septica,"USA, California",2008-05-24,41.27418,-122.05584,87%
7848,14107;14108;14109;14110;14112;14113;14299;14300;14301;14302;14303;145025;145026;145027;145028;145029;145030;145031;145032;324753;324754;324755;324756;324757,Amanita muscaria,"Australia, New South Wales",2007-04-30,-31.66974,152.53704,98%
8021,14590;14591;14659,Fuligo septica,"USA, California",2008-06-20,38.45394,-122.66712,84%
8246,15238;15239;15240,Pluteus cervinus,"USA, California",2008-07-07,38.57526,-123.31296,86%
8247,15241;15242;15243,Fuligo septica,"USA, California",2008-07-07,38.57526,-123.31296,86%
